feature_type,z,omega,omega_model,sigma,variance_model,sigma_err,sigma_err_plus,sigma_err_minus,phase,chi2,chi2_red,n_signal_pairs,n_variance_pairs,k_min,k_max
log,5.0,0.8,6.309573444801933,2.1707851561029665,log_poly3,0.002713400292424506,0.0027124165229066577,0.0027143840619423543,0.0,18459.740020481197,29.394490478473244,1,4,0.049848472848211554,0.5967092612435556
log,4.0,0.8,6.309573444801933,2.6242899437673235,log_poly3,0.0030441178712794503,0.003043523225502387,0.0030447125170565137,0.0,21965.85281658259,34.97747263787036,1,4,0.049848472848211554,0.5967092612435556
log,3.0,0.8,6.309573444801933,3.3031901587456964,log_poly3,0.0035603937842401123,0.003560870089583723,0.0035599174788965016,0.0,25887.297400182135,41.22181114678684,1,4,0.049848472848211554,0.5967092612435556
log,2.0,0.8,6.309573444801933,4.46491758608685,log_poly3,0.005391941875886097,0.005395666841844005,0.00538821690992819,0.0,22796.575011479545,36.30027868069991,1,4,0.049848472848211554,0.5967092612435556
log,1.0,0.8,6.309573444801933,6.799746174390389,log_poly3,0.013268383950566509,0.013297357524172604,0.013239410376960414,0.0,10190.708791838259,16.227243299105506,1,4,0.049848472848211554,0.5967092612435556
log,0.0,0.8,6.309573444801933,11.694847954477053,log_poly3,0.0514242088172745,0.05158916227786747,0.05125925535668152,0.0,1903.8650060223035,3.031632175194751,1,4,0.049848472848211554,0.5967092612435556
log,5.0,0.87,7.413102413009175,2.381267714254028,log_poly3,0.0030669159202987295,0.0030661310786448404,0.0030677007619526186,0.0,17052.273060259886,27.153301051369244,1,4,0.049848472848211554,0.5967092612435556
log,4.0,0.87,7.413102413009175,2.85860085119426,log_poly3,0.0034596721034760858,0.0034593089770709184,0.003460035229881253,0.0,19610.20820225261,31.226446181930903,1,4,0.049848472848211554,0.5967092612435556
log,3.0,0.87,7.413102413009175,3.5719277871630384,log_poly3,0.004093383951853102,0.004093899007968638,0.004092868895737567,0.0,21984.70094178704,35.00748557609401,1,4,0.049848472848211554,0.5967092612435556
log,2.0,0.87,7.413102413009175,4.746147277954638,log_poly3,0.006086441786949948,0.006090156956556569,0.006082726617343326,0.0,17648.66348479353,28.102967332473774,1,4,0.049848472848211554,0.5967092612435556
log,1.0,0.87,7.413102413009175,7.058001011711153,log_poly3,0.014095542640835568,0.014119313961534097,0.014071771320137039,0.0,6917.802374923698,11.015608877267034,1,4,0.049848472848211554,0.5967092612435556
log,0.0,0.87,7.413102413009175,12.028892789574911,log_poly3,0.05468130067626831,0.05486187090190775,0.054500730450628865,0.0,1372.7996434145684,2.1859866933353,1,4,0.049848472848211554,0.5967092612435556
log,5.0,1.26,18.197008586099834,2.7312782827131,log_poly3,0.0027679229468984268,0.0027675666171051994,0.002768279276691654,0.0,3058.6909855023746,4.870527046978303,1,4,0.049848472848211554,0.5967092612435556
log,4.0,1.26,18.197008586099834,3.2805209875589436,log_poly3,0.003254879403149724,0.0032551046586499766,0.0032546541476494717,0.0,3055.4187081933487,4.865316414320619,1,4,0.049848472848211554,0.5967092612435556
log,3.0,1.26,18.197008586099834,4.096707662465597,log_poly3,0.004128717879387622,0.004130068112625729,0.004127367646149516,0.0,2816.990324039363,4.485653382228285,1,4,0.049848472848211554,0.5967092612435556
log,2.0,1.26,18.197008586099834,5.44473432839655,log_poly3,0.006854876985503466,0.006860727898209795,0.0068490260727971375,0.0,1842.8243893559234,2.934433741012617,1,4,0.049848472848211554,0.5967092612435556
